task_id	chrom	start	end	race	num_snps	boosting_iterations_performed	h2_unscaled	r_squared_cv	region
1	X	101097622	101098473	EA	101	14	0.088010276893539	0.53189316891574	Hippocampus
10	X	118974315	118976419	EA	111	11	0.0395754637893833	0.653684033591479	Hippocampus
100	X	48071222	48071328	EA	74	16	0.24499449924411	0.695739756304642	Hippocampus
1000	1	8233895	8234123	EA	244	11	0.201726760998062	0.942746117324865	Hippocampus
1001	1	8240722	8241369	EA	246	15	0.18943870247089	0.939170484500874	Hippocampus
1002	1	8255148	8255824	EA	252	11	0.155519371996989	0.936433447176778	Hippocampus
1003	1	8305769	8306651	EA	250	16	0.207127679381995	0.94606026987471	Hippocampus
1004	1	8332504	8332806	EA	253	21	0.191978996003381	0.954048301918518	Hippocampus
1005	1	8340847	8341851	EA	256	11	0.234715376081769	0.958209815459322	Hippocampus
1006	1	83996581	83997373	EA	201	13	0.0832311044942477	0.894763802724056	Hippocampus
1007	1	8403043	8403510	EA	277	12	0.199709402655553	0.966702035166617	Hippocampus
1008	1	84558312	84558450	EA	213	14	0.100705209058673	0.903862693358907	Hippocampus
1009	1	84652684	84653492	EA	224	11	0.102197331749113	0.907222091405001	Hippocampus
101	X	48475993	48476647	EA	60	15	0.13347970445945	0.590692473052801	Hippocampus
1010	1	8608217	8610065	EA	264	22	0.219935814491743	0.946971479568662	Hippocampus
1011	1	86842001	86842447	EA	210	11	0.0775691867342428	0.911715434037775	Hippocampus
1012	1	8713508	8714787	EA	256	12	0.114802012536534	0.934999787523664	Hippocampus
1013	1	8759809	8760421	EA	259	15	0.107406909334443	0.93206755687672	Hippocampus
1014	1	8774510	8775337	EA	256	13	0.149869181059629	0.940561466658226	Hippocampus
1015	1	87890940	87891180	EA	213	21	0.164150989664528	0.919309001178141	Hippocampus
1016	1	8792533	8793113	EA	256	12	0.0914863282997189	0.911703308078412	Hippocampus
1018	1	8828674	8829120	EA	258	16	0.191760956652673	0.946596056724451	Hippocampus
1019	1	8853051	8853571	EA	249	11	0.262736431199704	0.93879180584905	Hippocampus
102	X	48508388	48508570	EA	62	14	0.189095808713736	0.597561203222037	Hippocampus
1020	1	88567287	88567575	EA	180	11	0.0933456117714128	0.775400257418344	Hippocampus
1021	1	8877429	8877630	EA	248	12	0.260928405675927	0.940530529905941	Hippocampus
1022	1	8881629	8882750	EA	245	11	0.172331245012929	0.955432890309573	Hippocampus
1023	1	8888276	8888959	EA	255	14	0.127336028462141	0.93404245381594	Hippocampus
1024	1	88991832	88992179	EA	162	16	0.160411040881359	0.878627198741732	Hippocampus
1025	1	8906387	8907271	EA	244	21	0.144536276465556	0.931054579473034	Hippocampus
1027	1	8966004	8966648	EA	249	11	0.233152195287063	0.934381229451549	Hippocampus
1028	1	89707102	89707804	EA	172	13	0.138632169014894	0.893899282221739	Hippocampus
1029	1	8975419	8975943	EA	253	11	0.152148368348207	0.953486332814147	Hippocampus
103	X	48539432	48540210	EA	59	15	0.0316792282846177	0.411469498129304	Hippocampus
1030	1	8995214	8996284	EA	248	12	0.149992741771084	0.932090429146938	Hippocampus
1032	1	9043628	9043973	EA	246	11	0.190928791205663	0.939143606047463	Hippocampus
1033	1	9063756	9063990	EA	247	12	0.148021736356264	0.930599764471056	Hippocampus
1034	1	90833997	90834535	EA	232	11	0.159625679029594	0.933512771255896	Hippocampus
1035	1	90909787	90910134	EA	223	13	0.110680483284738	0.939931621885947	Hippocampus
1037	1	9108997	9110220	EA	242	11	0.136600606144947	0.925007770116768	Hippocampus
1038	1	9137968	9138672	EA	241	11	0.0947403937921648	0.933635247462825	Hippocampus
1039	1	9222666	9224441	EA	225	17	0.190225161697073	0.921078498112043	Hippocampus
104	X	48597436	48597558	EA	56	15	0.0680951606441427	0.70129987328012	Hippocampus
1040	1	92876411	92877344	EA	97	19	0.214152564579104	0.698026172351781	Hippocampus
1041	1	9407927	9408774	EA	215	13	0.179219549957111	0.915424799937379	Hippocampus
1042	1	9478805	9479371	EA	209	12	0.197417024799723	0.906431721527148	Hippocampus
1043	1	9514811	9515615	EA	220	15	0.123277923621724	0.913682857234299	Hippocampus
1044	1	95236052	95237184	EA	182	14	0.251735094487622	0.913956200476759	Hippocampus
1045	1	9531019	9532420	EA	219	13	0.114284766091677	0.906661622618567	Hippocampus
1046	1	9536906	9537435	EA	221	11	0.121149131352604	0.919660180102774	Hippocampus
1047	1	9540619	9541129	EA	219	16	0.121876903950675	0.916587681217813	Hippocampus
